2026-01-04 08:09:59.660 [SpringApplicationShutdownHook] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:09:59.665 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown initiated...
2026-01-04 08:09:59.667 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Shutdown completed.
2026-01-04 08:10:18.435 [main] INFO  com.material.system.MaterialSystemApplication - Starting MaterialSystemApplication using Java 19.0.2 with PID 16148 (C:\workplace\cangku\backend\target\classes started by Administrator in C:\workplace\cangku\backend)
2026-01-04 08:10:18.437 [main] DEBUG com.material.system.MaterialSystemApplication - Running with Spring Boot v3.2.2, Spring v6.1.3
2026-01-04 08:10:18.438 [main] INFO  com.material.system.MaterialSystemApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-04 08:10:19.004 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:10:19.005 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-01-04 08:10:19.017 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
2026-01-04 08:10:19.026 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-04 08:10:19.027 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-04 08:10:19.033 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2026-01-04 08:10:19.532 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-04 08:10:19.540 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-04 08:10:19.540 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-01-04 08:10:19.581 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2026-01-04 08:10:19.581 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1120 ms
2026-01-04 08:10:19.741 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-01-04 08:10:19.770 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
2026-01-04 08:10:19.787 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-01-04 08:10:19.915 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-01-04 08:10:19.929 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Starting...
2026-01-04 08:10:20.021 [main] INFO  com.zaxxer.hikari.pool.HikariPool - MaterialHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@78ea700f
2026-01-04 08:10:20.023 [main] INFO  com.zaxxer.hikari.HikariDataSource - MaterialHikariCP - Start completed.
2026-01-04 08:10:20.043 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-01-04 08:10:20.228 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-01-04 08:10:20.232 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-01-04 08:10:20.587 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 3 endpoint(s) beneath base path '/actuator'
2026-01-04 08:10:20.624 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-01-04 08:10:20.645 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 8ccfee7b-d2b8-49a4-9618-cc7afc280e41

This generated password is for development use only. Your security configuration must be updated before running your application in production.

